date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.9,49.7,37.3,59.0,47.3,42.6,50.9,44.7,53.8,43.1,46.9,44.5,37.3,42.6,44.7,50.9,53.8,59.0,47.3
10-02,52.2,49.8,37.6,49.9,48.8,31.7,49.2,41.3,53.7,45.2,45.8,39.9,31.7,37.6,45.2,49.8,52.2,53.7,48.8
10-03,53.0,39.0,43.4,45.2,38.2,39.8,50.8,48.8,52.7,46.3,44.0,38.4,38.2,39.0,43.4,48.8,52.7,53.0,45.2
10-04,51.7,27.5,45.7,48.5,35.9,49.4,44.2,48.1,53.0,48.4,45.1,41.0,27.5,35.9,45.1,48.5,51.7,53.0,48.1
10-05,47.7,32.6,47.0,43.3,38.6,48.5,41.4,42.4,53.7,47.0,46.1,45.1,32.6,38.6,42.4,47.0,48.5,53.7,46.1
10-06,41.0,41.5,48.0,42.7,35.3,39.6,37.8,40.7,53.3,43.7,46.0,47.2,35.3,37.8,40.7,43.7,48.0,53.3,41.5
10-07,38.7,45.5,48.8,45.2,39.0,45.7,35.2,44.3,53.5,45.0,46.3,48.5,35.2,38.7,44.3,45.7,48.8,53.5,45.2
10-08,44.5,46.7,49.0,49.8,45.5,44.1,33.5,48.6,54.4,42.7,46.3,49.5,33.5,42.7,44.5,48.6,49.8,54.4,46.3
10-09,47.2,45.6,45.8,50.2,46.1,29.0,34.7,45.7,54.2,37.4,45.1,49.2,29.0,34.7,45.1,46.1,50.2,54.2,45.7
10-10,49.2,34.1,45.5,50.9,47.8,34.8,34.7,25.1,53.1,36.6,46.1,50.3,25.1,34.1,34.8,47.8,50.9,53.1,45.5
10-11,48.8,34.0,46.5,52.1,47.5,44.6,35.1,29.8,43.9,39.6,47.5,41.0,29.8,34.0,39.6,47.5,48.8,52.1,44.6
10-12,38.8,37.0,39.0,52.1,46.8,45.5,35.6,36.2,45.0,29.3,47.3,33.3,29.3,35.6,37.0,45.5,47.3,52.1,39.0
10-13,39.1,40.1,37.4,52.6,48.4,44.0,38.2,41.1,50.5,28.7,47.5,35.4,28.7,37.4,39.1,47.5,50.5,52.6,41.1
