date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.2,54.2,55.3,49.6,54.1,37.6,58.7,53.5,55.9,50.2,40.4,58.1,51.2,47.6,54.0,40.3,56.3,45.2,52.3,40.4,37.6,40.4,48.4,54.2,56.6,58.7,52.3
10-02,45.0,55.7,52.0,46.5,54.0,43.9,56.7,52.2,56.2,50.2,43.6,49.4,50.9,36.8,51.8,42.1,56.5,48.6,51.5,37.8,36.8,43.3,47.4,52.1,56.3,56.7,50.9
10-03,45.2,54.4,51.7,50.9,51.9,46.6,52.1,50.0,58.1,40.8,48.0,45.5,38.0,43.5,50.9,49.1,56.0,48.3,48.7,41.1,38.0,43.0,47.2,51.4,54.7,58.1,49.1
10-04,46.3,41.1,51.4,53.4,41.4,40.9,45.0,45.4,54.8,30.4,49.9,47.1,40.4,47.7,44.0,48.4,55.6,51.7,48.8,44.4,30.4,40.8,44.4,49.5,53.7,55.6,47.1
10-05,45.1,38.9,51.2,43.1,40.3,34.0,42.0,37.1,51.7,37.0,50.1,43.8,41.9,46.2,41.9,46.6,56.4,46.5,49.1,48.6,34.0,37.1,41.9,46.6,51.3,56.4,43.8
10-06,46.3,44.4,44.0,31.4,44.0,36.3,42.0,28.9,47.1,47.3,50.7,41.5,38.5,41.8,37.2,43.5,55.2,46.3,49.5,49.7,28.9,35.3,41.6,46.3,49.7,55.2,44.0
10-07,48.3,51.2,41.3,35.7,49.1,38.0,41.2,30.2,44.9,48.8,50.8,47.0,43.1,49.7,34.2,48.3,54.8,47.3,49.4,51.4,30.2,35.4,42.0,49.0,50.9,54.8,47.3
10-08,49.4,47.6,43.7,45.3,50.7,41.5,42.5,34.2,48.6,46.5,51.2,51.4,48.1,45.7,34.5,51.2,55.4,42.2,49.4,51.4,34.2,40.1,44.3,49.4,51.2,55.4,47.6
10-09,50.7,38.6,40.1,50.0,51.5,45.7,45.0,36.2,49.6,39.8,48.8,52.6,49.6,33.3,37.8,46.0,52.9,39.1,48.7,51.7,33.3,37.5,39.9,49.6,51.7,52.9,46.0
10-10,43.1,37.7,39.9,48.7,42.0,46.3,47.4,41.1,48.4,33.8,49.9,53.4,51.7,41.3,40.6,27.1,51.8,39.5,47.9,52.1,27.1,36.9,40.8,48.2,51.7,53.4,43.1
10-11,41.4,41.3,41.3,47.4,26.8,45.7,50.1,46.2,44.1,37.2,50.3,53.5,50.4,48.2,38.3,35.2,48.1,38.2,49.8,43.9,26.8,36.8,41.3,48.2,50.3,53.5,45.7
10-12,46.7,45.1,43.4,44.9,24.5,43.4,47.6,46.9,36.2,39.4,42.9,53.2,48.0,45.4,39.4,38.7,49.8,27.7,51.1,35.9,24.5,34.5,40.8,46.8,50.1,53.2,44.9
10-13,44.7,45.8,46.6,40.0,27.8,42.0,46.6,51.0,42.6,37.0,43.5,54.5,48.7,43.9,42.4,43.1,53.4,29.8,50.2,39.5,27.8,35.6,42.5,46.6,51.5,54.5,43.9
10-14,48.7,49.0,39.5,41.4,37.7,43.7,50.2,54.5,45.2,34.7,49.4,54.6,52.8,38.6,29.2,43.2,56.3,32.0,49.2,44.3,29.2,34.2,40.3,49.3,54.5,56.3,45.2
10-15,51.0,46.5,40.9,43.7,43.5,48.6,49.5,54.5,48.0,32.5,50.8,54.3,53.4,44.2,28.9,45.5,47.9,36.6,50.2,,28.9,35.8,43.9,49.9,53.5,54.5,47.9
10-16,48.8,44.9,43.8,41.7,46.4,49.0,50.1,52.4,50.3,35.0,47.0,51.1,51.1,47.5,34.6,50.5,49.0,43.6,46.6,,34.6,40.4,45.5,49.7,51.1,52.4,47.5
10-17,40.2,48.1,31.8,38.0,48.7,51.5,46.1,46.1,44.3,39.8,46.9,47.4,46.2,49.8,35.4,49.6,52.5,45.3,45.9,,31.8,37.5,44.7,47.8,50.1,52.5,46.1
10-18,37.5,41.0,31.9,38.6,49.4,54.2,42.0,47.0,46.1,38.9,46.9,45.0,43.6,49.7,36.3,37.7,53.7,34.7,47.4,,31.9,36.0,38.7,47.0,50.5,54.2,43.6
10-19,37.9,39.6,38.9,48.5,47.9,50.4,43.8,47.2,49.2,40.7,48.0,41.7,38.4,50.1,41.6,41.8,52.5,35.4,47.0,,35.4,38.3,41.0,47.9,50.2,52.5,43.8
10-20,39.0,44.0,42.5,42.3,47.2,37.4,44.5,46.6,49.6,43.1,48.8,39.9,43.1,43.9,44.4,33.9,51.0,40.5,46.2,,33.9,38.7,42.4,45.6,49.0,51.0,43.9
