date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,56.2,43.4,52.7,54.2,43.2,54.2,28.5,59.2,54.0,53.2,51.7,36.1,60.4,51.2,36.2,54.2,38.3,53.1,46.6,45.9,42.7,28.5,36.2,45.2,54.1,56.5,60.4,52.2
10-02,49.5,45.1,54.8,49.7,40.2,53.7,36.5,58.7,52.3,54.2,50.6,39.3,45.5,51.4,31.3,53.0,37.0,53.6,48.0,50.4,37.3,31.3,37.0,45.4,52.5,54.3,58.7,50.1
10-03,46.8,45.1,48.4,46.5,49.8,49.7,40.8,54.5,49.8,52.2,34.8,44.4,44.1,36.7,36.8,50.2,47.6,53.2,50.0,49.2,39.0,34.8,36.8,44.9,49.8,52.3,54.5,48.0
10-04,47.8,45.0,32.2,46.8,52.4,40.2,36.7,47.4,47.5,48.9,28.7,46.5,49.2,36.1,43.3,44.5,43.5,53.9,52.3,47.3,41.7,28.7,35.7,43.4,47.6,52.3,53.9,46.7
10-05,49.4,44.5,32.7,47.4,44.0,37.3,27.9,45.5,40.2,42.6,33.3,47.9,47.3,35.6,42.0,37.9,38.2,53.8,49.7,49.6,44.3,27.9,33.2,38.1,47.4,49.6,53.8,43.3
10-06,50.2,45.1,39.7,42.5,29.6,39.6,31.8,42.3,28.5,38.7,43.6,49.6,46.2,34.5,38.5,37.3,38.6,52.4,45.5,49.4,47.7,28.5,31.6,38.6,45.2,49.6,52.4,41.0
10-07,51.3,47.6,46.7,39.5,30.1,45.3,38.6,41.4,28.4,37.9,49.4,50.6,47.8,40.9,47.2,35.2,45.7,54.7,47.7,49.9,50.4,28.4,34.7,40.5,47.7,50.7,54.7,46.2
10-08,54.0,50.5,43.0,40.4,41.2,49.0,34.5,38.3,32.0,45.8,45.9,50.7,51.1,47.1,37.2,35.0,50.7,56.4,44.1,49.8,50.8,32.0,35.0,41.0,50.0,51.4,56.4,45.9
10-09,56.7,51.3,35.2,38.2,47.3,46.5,38.4,40.1,34.4,49.0,44.5,49.6,51.9,49.4,31.9,34.3,38.4,55.9,36.0,49.7,51.2,31.9,34.4,38.3,49.4,52.3,56.7,45.5
10-10,42.5,43.2,36.4,36.7,49.6,32.0,36.4,43.1,38.2,50.7,35.7,48.2,55.5,51.2,38.5,32.8,22.1,55.3,37.6,49.2,54.0,22.1,32.8,36.6,48.5,51.6,55.5,40.5
10-11,40.7,43.2,37.9,38.5,44.4,28.4,43.0,44.6,42.4,50.1,35.9,47.4,53.6,49.1,46.0,35.0,29.4,40.3,38.2,50.0,38.5,28.4,34.4,38.4,45.1,50.0,53.6,42.7
10-12,49.3,44.7,41.1,41.4,45.8,22.2,45.3,41.4,42.3,40.4,40.4,37.5,52.0,46.2,40.0,36.1,38.1,47.5,31.3,48.7,32.5,22.2,35.6,40.2,45.4,48.8,52.0,41.4
10-13,36.4,42.3,43.8,44.0,37.9,25.1,41.9,43.3,46.9,38.0,38.1,38.7,54.5,50.1,41.3,38.1,42.3,53.5,28.5,47.7,37.4,25.1,35.6,38.1,43.8,50.5,54.5,42.1
10-14,44.6,45.8,49.3,41.2,39.0,33.3,41.0,47.4,50.0,42.4,32.8,47.6,54.5,53.9,30.4,26.6,43.2,49.2,27.0,47.8,41.9,26.6,30.0,40.4,47.7,50.4,54.5,43.9
10-15,49.2,48.5,47.9,42.8,41.9,42.0,41.9,48.6,53.9,46.8,30.1,50.2,53.6,55.2,40.8,28.3,44.6,37.9,30.3,47.8,,28.3,30.3,41.9,48.5,53.7,55.2,45.7
10-16,48.8,50.4,44.4,36.9,40.6,45.0,42.8,48.8,50.9,47.2,31.9,46.4,54.4,52.1,45.9,37.0,49.6,42.6,42.3,46.0,,31.9,37.0,42.7,48.8,51.1,54.4,45.9
