date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,53.4,52.5,44.0,53.1,29.2,57.7,53.7,51.5,48.4,34.8,57.5,49.1,36.6,51.3,37.2,52.3,44.4,44.7,41.2,29.2,36.1,44.4,52.5,54.9,57.7,50.2
10-02,50.5,48.0,39.5,52.6,35.4,57.0,51.5,52.6,46.6,38.4,45.5,48.9,29.6,51.3,36.3,52.4,46.3,46.8,36.9,29.6,36.0,45.6,51.2,52.6,57.0,47.4
10-03,44.6,46.1,48.3,49.1,40.5,54.0,50.4,49.6,33.8,43.1,42.9,35.4,35.6,48.9,45.3,51.7,47.5,46.2,37.5,33.8,35.6,43.2,48.9,50.8,54.0,46.2
10-04,33.9,47.4,50.4,40.0,36.2,46.4,46.4,46.4,27.5,45.3,45.8,34.8,42.3,42.7,41.6,52.0,50.0,45.8,40.3,27.5,34.5,41.7,46.4,50.1,52.0,45.5
10-05,32.5,47.7,42.9,37.1,28.1,45.0,39.2,41.4,33.1,46.6,45.2,34.7,41.2,37.2,37.9,52.4,48.2,46.9,43.9,28.1,32.9,37.2,45.2,47.9,52.4,41.3
10-06,38.9,42.7,29.5,39.1,30.3,43.6,28.6,37.1,43.4,48.0,43.8,32.8,37.5,35.7,37.6,51.5,44.8,47.6,46.1,28.6,30.1,37.1,43.6,47.7,51.5,39.0
10-07,47.0,38.2,30.3,44.8,36.1,41.5,28.8,37.2,47.8,48.9,46.1,38.6,46.4,34.5,43.9,52.5,45.2,48.0,48.3,28.8,33.2,38.2,46.3,48.3,52.5,44.4
10-08,43.1,39.5,40.8,46.5,34.1,37.6,32.6,44.0,43.9,48.5,49.0,44.7,37.4,33.4,48.0,54.0,40.9,47.9,49.0,32.6,33.9,39.6,46.3,48.6,54.0,43.5
10-09,35.3,37.0,47.3,43.9,37.5,40.2,34.0,46.1,41.5,47.1,49.7,47.2,29.9,33.3,37.3,52.7,35.6,47.5,49.2,29.9,33.8,37.0,47.0,48.2,52.7,40.9
10-10,35.5,35.7,48.3,33.1,36.2,43.2,37.7,48.1,34.7,46.2,53.1,48.4,37.2,32.5,21.2,52.1,36.6,46.9,50.0,21.2,32.9,35.7,46.9,49.5,53.1,37.4
10-11,37.8,38.1,43.2,27.5,39.4,44.0,41.1,48.1,33.7,45.7,51.3,46.3,44.2,33.6,29.3,38.8,36.7,46.9,37.6,27.5,32.3,37.8,44.2,47.3,51.3,40.3
10-12,40.3,40.6,44.6,21.7,42.4,41.2,41.0,40.1,37.3,36.3,49.8,43.4,38.9,34.8,36.2,44.5,28.5,47.0,32.4,21.7,32.9,37.5,42.3,45.4,49.8,40.4
10-13,43.0,43.0,38.1,24.5,40.9,42.8,45.4,38.8,36.7,38.2,52.0,47.5,39.1,36.3,40.5,50.1,27.2,46.8,35.6,24.5,33.6,38.2,43.0,48.3,52.0,40.7
10-14,48.3,40.7,38.7,33.9,41.1,46.6,48.4,41.4,31.6,46.7,52.1,50.9,30.2,24.2,41.3,47.5,26.4,46.6,39.9,24.2,29.0,38.9,46.7,49.1,52.1,41.3
10-15,47.2,41.5,41.2,40.2,41.6,47.0,51.7,45.0,28.1,48.5,51.4,51.1,39.9,26.8,42.9,38.2,30.2,46.1,,26.8,29.6,40.3,46.9,51.2,51.7,42.3
10-16,43.6,36.4,39.6,42.9,42.7,47.4,48.5,44.8,30.7,43.7,50.4,46.8,44.3,34.7,47.9,42.7,40.2,43.7,,30.7,35.9,42.7,44.7,48.1,50.4,43.6
10-17,45.3,29.5,30.7,45.8,46.9,45.4,38.7,35.8,34.4,46.2,47.3,37.6,46.8,35.6,46.1,47.9,43.4,44.7,,29.5,33.3,37.7,46.1,47.0,47.9,45.0
10-18,43.7,27.9,31.7,47.1,51.3,41.8,39.7,39.9,33.6,46.2,45.9,35.7,46.4,35.6,32.6,48.1,36.8,46.7,,27.9,32.3,35.8,46.2,47.4,51.3,40.8
10-19,41.5,34.2,45.0,45.1,46.0,41.4,43.4,45.3,37.4,46.2,41.3,32.3,48.0,39.7,33.6,47.3,31.8,47.5,,31.8,33.2,39.8,45.3,47.4,48.0,42.4
10-20,41.8,35.3,34.2,44.2,35.9,43.8,42.1,48.8,38.9,47.6,38.9,37.7,38.8,42.7,26.5,46.9,35.9,46.4,,26.5,35.0,37.8,43.7,47.1,48.8,40.3
10-21,42.0,30.3,24.5,36.1,34.8,43.1,43.7,44.6,37.8,43.5,39.3,45.6,30.8,43.2,32.4,48.2,41.7,46.4,,24.5,30.6,36.2,43.5,45.8,48.2,41.8
10-22,43.8,33.5,32.0,31.5,36.7,40.2,42.5,42.7,41.0,40.0,39.3,47.8,42.6,41.7,38.2,37.9,43.4,38.2,,31.5,33.0,38.2,42.4,43.5,47.8,40.1
