date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,55.9,42.4,51.3,52.5,40.7,54.0,29.0,58.7,53.6,52.9,50.3,35.5,58.1,48.5,35.6,51.2,38.9,53.6,46.4,45.2,41.6,29.0,35.6,44.4,53.1,56.1,58.7,50.7
10-02,48.2,44.4,54.5,48.5,39.2,52.9,36.3,57.8,51.4,53.3,50.0,38.9,45.4,48.8,30.2,50.6,37.0,52.9,47.2,46.9,37.4,30.2,36.9,45.1,50.9,53.5,57.8,48.3
10-03,45.8,43.9,50.7,45.7,48.1,48.2,39.6,55.2,49.9,51.5,34.3,44.3,44.0,36.2,33.9,49.7,44.2,53.3,49.3,47.0,38.1,33.9,36.0,44.1,49.4,51.7,55.2,46.4
10-04,46.2,44.0,35.0,46.0,51.6,40.2,36.8,46.9,47.0,47.2,28.8,46.8,47.9,35.1,42.1,43.1,42.5,52.8,50.5,47.4,40.7,28.8,35.0,42.4,47.1,50.6,52.8,46.1
10-05,48.3,42.6,33.2,46.3,44.9,37.5,28.4,45.2,39.9,43.1,34.4,47.8,45.5,34.6,42.3,37.5,37.7,53.1,48.6,47.9,45.0,28.4,34.3,37.6,45.8,48.3,53.1,42.8
10-06,50.0,45.2,38.9,42.3,30.1,39.4,32.2,42.5,29.4,38.0,44.4,49.1,45.0,33.3,37.9,36.4,38.9,53.0,44.0,48.8,47.3,29.4,32.0,38.0,44.6,49.2,53.0,40.9
10-07,50.7,47.6,45.2,39.9,30.2,44.7,38.6,41.0,28.7,37.8,45.1,50.3,47.9,39.0,45.7,34.6,43.4,53.5,45.3,49.4,49.2,28.7,34.2,39.6,46.3,50.3,53.5,44.9
10-08,52.4,49.1,42.2,41.3,39.5,47.6,34.3,37.8,33.1,44.7,44.3,49.7,51.5,44.0,37.4,34.3,48.0,54.1,41.5,49.4,50.3,33.1,34.3,40.7,48.3,51.6,54.1,44.2
10-09,54.6,49.7,36.5,37.3,45.3,45.1,38.1,40.2,35.1,47.9,43.7,48.2,51.2,47.1,31.4,33.6,38.5,54.0,36.0,48.6,50.5,31.4,35.0,37.9,48.0,51.5,54.6,44.4
10-10,42.6,43.7,35.9,35.5,48.6,34.6,36.4,44.1,37.5,49.4,35.1,47.0,53.6,48.4,34.9,32.4,22.1,53.6,37.3,48.1,51.0,22.1,34.4,35.8,47.3,49.8,53.6,40.0
