date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,52.0,49.8,33.8,57.2,49.2,37.7,53.4,38.2,53.2,44.5,47.6,41.8,33.8,37.7,44.5,52.0,53.4,57.2,49.2
10-02,51.9,49.4,37.3,46.5,49.1,29.7,51.1,36.9,52.6,47.7,47.5,33.6,29.7,36.9,46.5,49.4,51.9,52.6,47.7
10-03,51.1,34.5,42.2,42.9,34.5,37.9,49.3,46.2,52.0,48.6,48.8,36.0,34.5,34.5,42.2,48.8,51.1,52.0,46.2
10-04,49.1,26.0,44.9,48.2,34.2,45.3,41.6,42.9,53.0,50.1,46.7,39.6,26.0,34.2,42.9,48.2,50.1,53.0,45.3
10-05,44.6,31.9,44.6,44.6,36.9,43.3,36.2,39.4,52.7,46.4,48.3,44.0,31.9,36.2,39.4,44.6,48.3,52.7,44.6
10-06,39.2,45.2,47.3,43.3,33.4,36.0,35.7,39.5,52.4,45.1,49.0,47.0,33.4,35.7,39.2,45.2,49.0,52.4,43.3
10-07,36.4,49.6,49.8,45.6,40.9,45.1,33.7,46.9,55.0,45.5,49.8,50.3,33.7,36.4,45.1,49.6,49.8,55.0,45.6
10-08,43.8,43.6,49.1,48.4,47.0,37.5,33.5,48.6,54.9,40.4,49.6,50.8,33.5,37.5,43.6,48.6,49.6,54.9,47.0
10-09,45.9,42.0,47.8,50.6,48.6,30.0,34.4,38.8,53.0,34.8,49.0,50.1,30.0,34.4,38.8,48.6,50.6,53.0,45.9
10-10,48.6,33.6,46.9,53.4,47.5,37.7,32.7,20.2,51.6,35.6,47.8,50.8,20.2,32.7,35.6,47.8,51.6,53.4,46.9
10-11,48.2,34.2,44.4,50.6,46.0,44.2,35.4,31.2,40.5,37.1,46.8,35.6,31.2,34.2,37.1,46.0,48.2,50.6,44.2
10-12,37.7,38.1,36.7,51.3,46.4,38.4,35.3,38.5,44.9,28.2,46.8,29.5,28.2,35.3,37.7,44.9,46.8,51.3,38.4
10-13,37.6,36.3,37.9,53.5,48.1,40.1,38.0,41.5,49.4,27.3,47.4,34.4,27.3,36.3,37.9,47.4,49.4,53.5,40.1
10-14,41.1,30.9,48.7,53.5,52.0,31.1,25.0,40.8,50.7,25.1,48.0,40.7,25.0,25.1,31.1,48.7,52.0,53.5,41.1
10-15,45.3,27.7,49.2,53.2,51.0,43.8,26.1,43.8,38.6,30.3,47.9,,26.1,27.7,38.6,47.9,51.0,53.2,43.8
10-16,47.0,29.1,45.3,52.3,49.6,45.9,34.5,48.9,41.3,42.3,47.3,,29.1,34.5,42.3,47.3,49.6,52.3,45.9
10-17,36.4,34.3,47.5,46.4,39.4,48.1,34.6,47.1,47.4,42.7,45.7,,34.3,34.6,39.4,47.1,47.5,48.1,45.7
10-18,38.8,32.2,47.9,44.3,39.6,48.3,33.8,31.6,47.5,34.8,47.5,,31.6,32.2,34.8,47.5,47.9,48.3,39.6
10-19,44.7,35.3,46.8,41.5,32.5,48.6,39.2,34.6,46.2,29.3,48.4,,29.3,32.5,35.3,46.2,48.4,48.6,41.5
10-20,47.2,37.7,47.8,39.2,41.4,38.6,42.4,25.9,45.8,36.3,47.4,,25.9,36.3,38.6,45.8,47.4,47.8,41.4
10-21,44.2,37.1,44.6,40.1,48.8,29.5,42.8,34.4,47.0,42.9,44.6,,29.5,34.4,40.1,44.6,47.0,48.8,42.9
10-22,44.3,41.7,41.4,38.9,47.0,42.1,40.7,38.8,40.1,43.0,37.2,,37.2,38.8,40.1,42.1,44.3,47.0,41.4
10-23,38.7,42.4,47.6,37.9,48.3,43.0,39.9,36.5,36.2,37.3,23.7,,23.7,36.2,37.3,42.4,47.6,48.3,38.7
10-24,26.2,44.2,49.2,41.4,45.4,40.7,39.5,29.8,43.8,40.9,22.5,,22.5,26.2,39.5,43.8,45.4,49.2,40.9
10-25,22.9,42.1,49.4,43.2,42.7,45.1,37.4,39.8,25.7,45.3,30.1,,22.9,25.7,37.4,43.2,45.3,49.4,42.1
10-26,25.1,41.5,41.6,41.1,45.3,41.1,39.5,42.6,12.4,27.3,30.0,,12.4,25.1,30.0,41.5,42.6,45.3,41.1
10-27,34.2,42.0,31.6,37.7,49.2,37.2,45.5,20.2,24.1,31.6,23.1,,20.2,23.1,31.6,37.7,45.5,49.2,34.2
10-28,39.4,37.0,35.9,39.5,50.1,38.7,46.8,20.5,34.7,38.1,31.9,,20.5,31.9,35.9,39.4,46.8,50.1,38.1
10-29,42.6,28.6,41.5,33.8,47.4,42.2,42.0,13.9,38.3,42.5,33.9,,13.9,28.6,33.9,42.2,42.6,47.4,41.5
10-30,43.9,28.0,45.8,33.4,49.2,43.1,29.9,10.0,40.0,43.7,33.1,,10.0,28.0,33.1,43.7,45.8,49.2,40.0
10-31,45.3,29.4,47.4,39.0,41.5,36.8,27.6,29.3,40.7,42.5,37.2,,27.6,29.3,36.8,41.5,45.3,47.4,39.0
11-01,41.6,33.9,41.8,42.7,36.2,40.2,31.2,29.7,45.0,41.2,38.5,,29.7,31.2,36.2,41.6,42.7,45.0,40.2
11-02,38.3,39.6,30.0,43.8,34.8,40.3,38.0,33.5,48.1,38.8,31.7,,30.0,31.7,34.8,39.6,43.8,48.1,38.3
11-03,37.5,26.5,23.2,38.2,42.3,39.0,32.1,37.3,45.8,37.2,22.9,,22.9,23.2,32.1,38.2,42.3,45.8,37.3
11-04,39.2,20.6,28.5,26.7,43.9,38.0,33.4,36.2,45.4,43.5,22.2,,20.6,22.2,28.5,39.2,43.9,45.4,36.2
11-05,40.0,17.2,36.2,22.0,42.3,36.2,32.3,36.1,46.2,42.6,34.1,,17.2,22.0,34.1,40.0,42.6,46.2,36.2
11-06,42.1,27.9,42.4,22.7,41.0,34.2,27.4,37.5,46.5,43.5,35.2,,22.7,27.4,34.2,42.1,43.5,46.5,37.5
11-07,43.3,38.4,40.4,30.7,42.4,24.4,27.5,37.8,38.3,40.9,41.7,,24.4,27.5,37.8,40.9,42.4,43.3,38.4
11-08,43.0,36.3,39.7,33.7,42.8,34.2,21.3,38.6,23.2,37.6,39.5,,21.3,23.2,34.2,39.5,42.8,43.0,37.6
