date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,35.6,45.8,44.5,37.8,46.0,26.8,50.5,47.8,45.9,44.0,30.6,49.9,40.6,31.8,46.0,34.6,48.0,39.5,37.6,35.3,26.8,31.6,37.7,46.0,48.4,50.5,44.0
10-02,38.3,46.9,42.9,34.2,45.0,28.9,49.7,43.6,47.3,43.7,32.9,41.2,41.0,23.6,45.7,32.4,48.9,39.5,39.6,34.0,23.6,31.7,38.8,44.5,47.6,49.7,41.2
10-03,37.8,44.2,38.0,41.1,42.0,33.2,49.7,44.2,44.8,31.2,37.8,37.8,31.6,27.0,42.6,38.9,45.6,41.3,39.8,33.3,27.0,31.6,37.8,42.4,44.9,49.7,39.8
10-04,37.5,33.4,40.3,43.7,35.3,31.9,43.2,41.2,40.6,22.6,42.2,40.4,29.3,38.5,37.7,37.8,45.7,42.2,39.4,35.6,22.6,31.4,37.6,40.9,43.3,45.7,39.4
10-05,37.7,28.0,40.4,39.5,32.9,21.4,40.5,34.6,36.3,30.9,43.7,39.7,27.9,36.9,34.8,31.5,46.7,43.2,39.2,39.8,21.4,28.0,33.6,39.6,43.3,46.7,36.9
10-06,38.3,32.6,38.3,27.5,33.4,24.2,38.8,27.2,29.6,39.7,43.6,39.6,26.7,34.1,32.0,32.0,46.1,38.3,40.6,39.9,24.2,27.1,32.0,38.6,41.2,46.1,34.1
10-07,40.6,39.1,34.0,25.7,38.8,31.1,37.0,24.0,31.0,40.5,44.4,41.4,31.1,40.4,30.5,38.1,45.0,39.3,41.0,41.4,24.0,29.5,32.3,40.4,42.0,45.0,38.8
10-08,40.4,38.8,34.4,33.1,41.0,28.2,32.0,28.4,39.7,38.4,42.6,44.9,37.1,34.7,27.3,41.4,46.5,37.8,41.4,43.2,27.3,28.4,34.5,40.7,43.1,46.5,38.4
10-09,41.0,31.4,32.6,38.8,40.9,32.0,35.2,29.4,41.2,38.0,41.5,43.4,40.1,23.0,27.5,36.3,46.8,32.2,39.7,41.7,23.0,29.0,32.4,40.6,41.9,46.8,38.0
10-10,39.6,28.6,30.7,42.5,32.1,31.5,39.1,30.6,41.8,31.7,38.5,46.0,40.2,29.8,28.7,17.2,47.4,32.9,41.0,42.2,17.2,28.7,31.0,39.9,43.2,47.4,32.9
10-11,39.8,34.1,34.4,39.7,29.4,34.7,40.0,34.5,43.3,31.4,39.8,47.8,39.2,35.3,27.7,25.8,35.0,32.8,42.5,33.8,25.8,29.0,34.2,39.8,42.7,47.8,35.0
10-12,39.7,34.1,36.8,39.4,17.6,36.0,37.0,34.2,34.3,29.8,30.8,44.2,37.2,36.7,29.6,32.1,38.2,28.0,45.2,30.3,17.6,29.3,32.9,37.1,40.6,45.2,36.0
10-13,35.0,37.8,37.6,35.5,19.3,35.4,37.5,39.5,35.7,32.9,33.4,47.4,40.8,33.6,31.7,33.9,43.5,23.5,42.7,28.8,19.3,30.1,33.7,37.7,42.9,47.4,35.5
10-14,42.9,40.7,33.5,33.5,30.7,36.0,40.3,40.5,36.2,28.4,39.4,46.5,44.3,26.2,18.0,35.3,43.1,22.1,42.3,32.2,18.0,25.3,33.5,40.6,43.3,46.5,36.2
10-15,42.9,39.4,36.8,34.7,32.8,36.3,40.5,43.2,39.1,23.0,39.4,44.0,46.2,35.4,23.2,38.0,33.4,25.9,40.1,,23.0,25.3,35.0,39.8,43.3,46.2,38.0
10-16,42.3,39.1,33.3,35.1,37.8,36.0,39.7,43.6,38.8,27.0,39.6,42.3,43.3,38.9,30.9,40.2,39.5,35.0,37.7,,27.0,32.8,36.6,39.7,42.5,43.6,38.9
10-17,36.1,39.4,24.7,27.3,39.6,38.2,38.1,34.6,33.9,30.4,39.6,41.9,34.2,40.7,31.6,40.0,43.6,35.8,38.2,,24.7,29.8,34.3,39.5,41.0,43.6,38.1
10-18,30.9,37.8,22.6,28.1,39.4,42.0,35.3,33.9,36.8,28.7,39.8,40.9,29.4,39.9,32.4,30.4,42.7,33.4,40.4,,22.6,28.6,31.5,39.6,41.1,42.7,35.3
10-19,31.4,38.0,30.4,36.5,38.5,42.7,35.6,37.0,39.3,35.9,40.3,36.0,27.0,40.6,35.8,26.2,42.6,25.5,42.2,,25.5,26.8,35.7,39.0,42.3,42.7,36.5
10-20,33.4,36.9,30.2,30.1,34.4,34.7,37.8,37.6,42.4,34.6,39.9,34.9,32.1,36.1,36.0,20.7,42.0,28.0,41.3,,20.7,29.7,33.8,37.3,41.4,42.4,34.9
10-21,32.3,36.0,23.7,19.6,29.0,29.9,40.1,37.9,39.0,33.2,38.6,34.9,37.9,26.0,38.9,26.2,42.7,34.4,40.1,,19.6,25.5,30.9,38.3,40.1,42.7,34.9
10-22,26.2,38.6,27.3,30.5,26.7,32.2,35.9,37.8,36.2,36.9,34.2,34.9,39.9,38.0,38.1,33.9,35.5,34.8,34.3,,26.2,27.2,34.0,36.6,38.2,39.9,34.9
10-23,26.3,38.4,35.2,39.7,36.9,32.7,34.6,38.5,33.8,36.7,39.3,33.8,42.0,38.9,34.5,28.3,25.4,30.5,20.1,,20.1,26.2,33.2,37.8,39.4,42.0,34.6
10-24,29.1,39.8,36.1,41.1,37.6,34.1,32.6,38.4,23.9,36.1,41.3,34.6,40.5,39.5,33.7,23.8,36.6,31.7,22.2,,22.2,23.9,33.1,38.1,40.6,41.3,36.1
10-25,29.3,38.4,26.7,40.5,42.6,24.4,23.3,33.3,16.3,37.8,42.1,35.8,37.0,40.1,32.3,36.3,17.1,39.4,26.8,,16.3,22.0,27.8,38.2,40.8,42.6,35.8
10-26,30.0,36.0,26.7,38.8,37.7,29.6,19.0,19.9,16.5,35.6,38.2,35.2,37.0,35.6,36.2,36.1,10.8,26.7,22.0,,10.8,18.5,26.7,36.1,37.8,38.8,35.2
