date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.0,40.8,50.2,24.4,54.9,52.7,49.0,46.5,32.0,57.4,48.4,30.6,48.9,34.5,49.6,43.6,41.3,40.2,24.4,31.4,41.2,49.6,53.6,57.4,48.4
10-02,44.8,36.2,50.5,31.5,55.6,50.1,49.8,44.0,36.0,43.1,48.0,26.1,51.1,32.3,48.8,45.3,45.0,35.9,26.1,32.0,41.7,49.0,50.7,55.6,45.0
10-03,42.8,46.7,46.2,37.6,53.0,49.1,45.2,29.6,40.1,41.2,33.3,32.9,47.6,44.0,48.9,46.4,44.3,35.4,29.6,33.1,40.9,46.5,49.0,53.0,44.3
10-04,45.1,49.0,38.9,33.5,46.6,45.8,42.3,26.8,42.0,43.0,32.0,38.6,41.2,37.1,49.3,48.8,43.6,38.1,26.8,32.9,38.8,45.2,48.8,49.3,42.3
10-05,46.1,42.3,34.4,24.0,45.3,40.0,35.4,31.3,43.8,45.7,30.1,38.2,34.2,33.9,49.2,49.2,45.3,41.8,24.0,30.8,34.3,45.3,47.3,49.2,40.0
10-06,41.1,27.5,36.1,26.9,44.0,28.2,31.9,42.0,45.3,45.0,29.1,34.5,33.8,34.8,49.0,43.7,46.2,43.8,26.9,27.9,33.5,43.8,45.6,49.0,36.1
10-07,35.5,27.3,42.1,34.3,39.7,28.4,33.4,47.8,46.8,45.2,36.7,44.5,33.8,43.7,50.0,43.7,46.8,46.9,27.3,31.4,35.3,44.6,47.2,50.0,42.1
10-08,36.6,38.5,43.7,30.5,34.6,31.9,40.9,43.3,45.7,46.7,43.5,31.8,32.2,45.9,52.5,40.3,46.2,46.8,30.5,31.9,36.2,44.1,46.4,52.5,40.9
10-09,34.7,46.2,40.1,33.6,37.7,32.5,43.3,40.9,45.1,47.6,46.3,28.7,30.9,32.5,51.7,34.5,46.5,47.5,28.7,31.9,34.3,45.3,46.9,51.7,40.1
10-10,33.3,47.0,28.4,31.7,41.3,36.1,46.5,34.9,44.1,53.1,47.3,38.3,29.7,17.9,51.1,35.2,45.0,49.3,17.9,29.2,34.6,45.3,48.8,53.1,38.3
10-11,35.5,40.4,25.1,36.0,41.4,38.4,49.2,30.9,43.1,49.2,43.3,43.6,31.1,27.1,33.3,37.2,43.6,34.8,25.1,29.4,35.1,43.1,45.9,49.2,38.4
10-12,37.9,43.4,20.2,41.2,38.2,38.1,41.5,35.7,32.7,46.4,39.8,35.4,32.9,34.7,40.4,29.1,43.8,30.5,20.2,31.3,35.2,40.6,43.6,46.4,38.1
10-13,40.7,36.3,21.8,39.0,40.5,42.4,37.1,35.9,35.5,49.2,46.3,35.9,33.5,39.8,47.6,25.5,43.6,33.8,21.8,30.3,35.9,41.1,46.8,49.2,39.0
10-14,40.0,37.1,31.9,39.0,45.7,44.8,39.8,29.5,47.1,49.1,50.2,25.5,20.8,39.7,41.8,24.0,44.2,38.3,20.8,24.9,36.1,44.4,47.9,50.2,39.8
10-15,40.8,39.8,37.9,37.8,44.6,50.0,42.8,24.9,47.8,49.4,50.0,38.1,25.3,40.9,32.7,27.7,43.4,,24.9,26.7,37.9,43.7,49.6,50.0,40.8
10-16,31.6,37.8,40.1,39.4,45.4,45.9,40.8,27.8,40.7,49.0,43.0,42.7,34.5,47.9,39.7,39.4,41.2,,27.8,33.3,39.4,42.7,46.7,49.0,40.7
10-17,26.9,27.0,43.6,45.6,44.0,35.1,31.1,31.7,45.0,47.6,32.0,45.1,35.6,44.6,45.3,43.7,43.6,,26.9,29.5,34.5,44.7,45.4,47.6,43.6
10-18,24.7,27.9,45.0,50.1,41.1,36.0,36.2,30.9,45.0,46.8,30.1,43.5,36.0,28.6,44.8,37.3,45.5,,24.7,28.4,35.0,44.9,46.0,50.1,37.3
10-19,31.6,43.2,42.1,43.3,39.7,41.9,43.0,34.9,44.6,40.7,28.8,46.9,39.0,28.6,43.8,30.9,46.6,,28.6,30.0,38.2,43.2,45.4,46.9,41.9
10-20,30.7,29.8,42.6,33.4,43.2,39.4,47.7,36.6,46.9,38.4,35.1,36.0,42.4,22.7,44.2,34.6,45.3,,22.7,30.3,35.0,42.8,45.9,47.7,38.4
10-21,25.9,21.6,30.6,32.8,43.1,41.1,43.0,35.1,40.9,37.4,44.5,27.7,43.2,28.3,45.4,41.1,44.9,,21.6,27.0,32.4,43.0,44.7,45.4,40.9
10-22,28.7,28.4,27.5,34.7,39.0,39.2,41.1,39.8,36.5,38.0,46.4,40.7,42.1,35.1,31.0,42.6,35.4,,27.5,28.6,35.0,40.0,42.3,46.4,38.0
10-23,37.9,39.6,36.0,35.3,36.3,41.6,30.6,41.2,46.2,36.5,46.8,39.0,38.3,27.7,29.1,35.0,22.9,,22.9,28.5,35.2,39.1,43.4,46.8,36.5
10-24,40.2,47.0,36.8,33.8,37.0,44.9,24.4,41.7,49.3,40.1,43.1,38.9,37.8,24.4,39.2,37.9,24.8,,24.4,24.6,37.0,40.5,45.7,49.3,38.9
10-25,27.0,46.6,41.2,25.4,24.4,32.6,20.4,40.5,50.3,42.7,42.2,43.6,34.7,37.6,14.2,41.4,28.6,,14.2,22.8,28.3,41.6,44.8,50.3,37.6
10-26,24.9,42.8,40.7,34.1,22.0,23.2,22.3,39.2,37.2,41.0,44.2,37.3,37.9,37.2,12.0,27.5,24.4,,12.0,22.1,24.8,38.2,41.7,44.2,37.2
10-27,32.2,40.2,45.0,22.9,21.5,26.4,31.8,40.5,28.2,32.6,49.3,36.2,43.3,16.8,27.3,31.6,22.3,,16.8,22.0,27.1,37.0,44.0,49.3,31.8
