date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.6,46.3,51.6,31.7,57.5,50.8,51.8,48.8,35.8,56.0,48.1,42.2,52.2,38.6,52.8,43.1,48.8,39.1,31.7,37.5,45.6,51.7,54.1,57.5,48.8
10-02,49.3,42.5,50.9,39.9,53.9,49.3,52.6,48.1,39.8,46.6,48.3,32.0,49.7,39.9,53.4,46.1,47.8,35.0,32.0,39.8,45.4,49.4,52.9,53.9,48.1
10-03,47.5,48.2,48.7,42.8,49.8,48.3,54.1,36.0,44.6,42.1,35.4,38.7,48.7,47.5,52.6,46.0,46.3,37.4,35.4,37.6,44.2,48.4,51.0,54.1,47.5
10-04,47.6,50.2,38.1,38.4,42.8,45.3,51.7,26.3,46.1,45.1,36.6,45.9,41.9,45.2,53.0,49.5,45.5,40.6,26.3,37.5,42.6,46.4,50.8,53.0,45.3
10-05,47.4,41.9,36.2,30.1,39.7,36.5,47.3,33.3,46.4,41.8,37.8,44.0,37.8,42.9,53.7,44.3,46.4,45.1,30.1,35.0,37.8,44.7,47.3,53.7,41.9
10-06,41.9,27.3,38.9,32.5,38.7,26.1,42.4,45.5,47.7,40.0,34.6,38.0,35.1,40.4,52.5,43.6,46.7,47.1,26.1,30.4,37.4,42.7,47.1,52.5,40.0
10-07,37.7,29.8,45.2,36.8,39.7,26.5,40.6,47.2,49.1,44.4,40.1,47.7,32.7,45.7,53.2,45.0,47.2,49.0,26.5,31.5,39.3,46.0,48.3,53.2,44.4
10-08,40.3,41.7,48.2,36.5,38.6,30.9,45.8,44.1,48.9,48.3,45.2,41.7,32.5,49.1,54.0,40.4,47.3,49.1,30.9,34.9,40.4,47.5,49.0,54.0,44.1
10-09,36.7,46.4,47.4,41.3,40.1,32.8,47.0,39.3,46.5,49.9,47.2,30.0,34.6,41.7,51.4,35.6,46.7,49.1,30.0,33.9,38.8,46.8,48.4,51.4,41.7
10-10,36.6,47.2,38.2,41.3,42.4,38.1,47.1,32.3,47.2,51.9,48.7,38.0,35.4,22.6,50.4,36.4,46.1,50.0,22.6,34.2,37.7,47.1,49.4,51.9,41.3
10-11,37.7,45.0,26.1,42.5,45.0,42.8,43.6,34.3,47.3,50.9,47.5,45.8,35.7,32.6,43.5,36.3,47.2,38.7,26.1,33.7,37.4,45.2,47.4,50.9,43.5
10-12,40.7,43.5,19.7,41.7,43.0,42.9,35.1,36.9,37.9,50.6,45.7,42.0,36.4,37.1,47.4,26.0,47.6,31.1,19.7,31.5,37.0,43.1,47.5,50.6,41.7
10-13,43.7,36.4,22.8,40.2,44.0,47.4,39.0,34.9,40.0,52.5,47.0,41.8,39.1,41.2,51.3,27.3,46.9,35.9,22.8,31.9,39.1,44.6,49.0,52.5,41.2
10-14,37.1,37.3,33.7,41.7,47.0,50.4,41.9,31.0,47.1,52.6,50.9,34.7,25.3,41.5,53.0,27.5,46.8,41.5,25.3,29.6,36.6,47.1,51.6,53.0,41.7
10-15,38.2,40.7,40.5,43.8,46.3,52.1,45.9,28.8,49.2,52.2,51.5,43.6,26.0,43.5,43.2,32.8,47.2,,26.0,31.2,40.7,46.5,51.7,52.2,43.6
10-16,40.0,38.1,43.3,45.2,46.9,50.0,47.8,31.4,45.5,49.3,49.6,46.1,33.2,48.4,45.6,41.7,44.8,,31.4,36.2,43.0,47.1,49.4,50.0,45.5
10-17,29.0,32.2,45.8,47.9,43.2,41.2,39.7,36.1,46.2,44.7,42.1,48.2,32.2,47.5,49.2,42.8,43.9,,29.0,32.2,40.9,45.9,48.0,49.2,43.2
10-18,27.5,33.7,46.4,51.5,39.1,42.8,42.5,34.9,45.1,43.3,40.2,48.1,32.5,33.9,50.5,33.5,45.4,,27.5,33.1,34.7,45.2,49.1,51.5,42.5
10-19,34.4,45.7,44.8,47.4,40.9,45.0,46.6,37.7,46.0,39.9,34.6,47.9,38.9,38.2,49.6,32.1,45.5,,32.1,34.5,38.7,45.8,47.6,49.6,44.8
10-20,38.2,37.9,43.6,34.8,42.9,43.0,48.1,39.3,45.9,37.9,41.5,40.3,41.2,28.8,48.6,37.5,45.1,,28.8,36.4,38.1,43.1,46.8,48.6,41.2
10-21,31.8,23.4,40.8,34.4,39.7,43.9,44.8,37.9,45.4,38.6,47.9,32.0,40.4,35.5,49.7,42.6,45.1,,23.4,31.9,37.5,44.1,46.4,49.7,40.4
10-22,36.8,33.8,34.6,35.8,36.6,43.2,42.8,40.5,42.8,38.2,49.5,43.9,38.0,40.1,46.1,44.1,39.9,,33.8,35.3,37.8,42.9,44.9,49.5,40.1
10-23,41.0,44.8,39.9,39.0,36.4,44.9,40.2,41.2,47.5,37.5,48.5,44.3,38.5,37.3,42.7,40.0,23.3,,23.3,36.9,38.9,43.0,46.0,48.5,40.2
10-24,40.5,46.9,41.6,40.2,39.9,45.9,29.4,42.1,50.6,40.3,44.1,43.7,38.9,32.0,45.7,41.5,23.7,,23.7,30.9,40.2,43.8,46.3,50.6,41.5
10-25,29.4,47.5,46.7,31.8,28.7,41.0,25.2,40.4,49.3,41.6,42.1,45.9,39.5,42.0,28.4,43.6,33.7,,25.2,28.6,33.3,42.4,47.0,49.3,41.0
10-26,28.4,45.4,47.0,36.5,26.0,24.7,28.0,40.9,43.5,42.6,44.7,42.2,42.0,45.5,12.8,27.2,32.2,,12.8,25.5,28.3,42.8,45.5,47.0,40.9
10-27,37.9,43.7,47.7,25.4,25.6,29.0,36.6,41.6,34.3,40.3,49.2,41.0,45.3,24.0,26.2,32.8,23.9,,23.9,24.9,28.4,41.1,46.2,49.2,36.6
