date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,42.3,52.3,53.2,47.7,52.5,36.4,57.4,52.2,55.7,49.0,40.2,57.2,50.0,47.4,52.8,40.1,55.7,44.4,51.9,40.1,36.4,40.2,47.5,52.7,56.0,57.4,51.9
10-02,43.7,54.2,50.8,45.7,52.1,42.6,54.8,50.9,55.6,48.8,43.7,48.6,49.8,36.5,50.8,41.7,55.7,47.9,50.3,37.1,36.5,42.4,46.6,50.9,55.0,55.7,49.8
10-03,43.5,53.5,50.2,49.0,49.9,45.0,50.8,49.2,57.1,39.9,47.6,44.8,37.8,42.4,50.5,48.0,55.8,46.2,47.4,40.7,37.8,41.9,45.5,50.1,53.9,57.1,48.0
10-04,45.1,40.2,49.5,52.0,40.3,40.5,43.7,45.8,53.8,30.0,50.0,46.2,39.9,47.1,43.3,47.8,54.6,50.5,48.0,44.4,30.0,40.2,43.4,48.9,52.4,54.6,46.2
10-05,44.4,37.9,49.9,42.7,39.2,33.1,40.5,36.6,50.9,37.1,50.3,43.2,41.5,45.4,41.7,46.8,56.2,45.1,48.0,49.0,33.1,37.0,40.9,46.2,50.4,56.2,43.2
10-06,45.2,43.2,43.7,30.1,42.6,35.4,40.6,28.7,46.8,47.4,50.7,40.8,38.3,41.3,36.7,43.3,54.2,44.9,48.0,49.3,28.7,34.3,40.7,45.1,48.5,54.2,43.2
10-07,46.6,49.4,39.7,34.6,47.6,36.5,40.6,29.8,44.7,47.3,50.2,46.6,41.6,49.2,33.8,47.2,53.8,45.9,48.1,50.1,29.8,34.5,41.0,47.5,49.6,53.8,46.6
10-08,47.4,46.1,42.4,44.3,49.0,40.1,41.3,33.7,47.9,45.6,50.5,51.3,46.6,45.4,34.0,50.4,54.2,41.4,48.3,50.4,33.7,38.9,43.2,48.1,50.6,54.2,46.1
10-09,48.5,37.5,39.0,48.3,49.8,44.6,43.7,35.4,48.4,39.2,48.4,52.0,48.4,32.9,37.2,45.3,52.0,38.9,47.0,51.3,32.9,36.8,39.1,48.4,50.2,52.0,45.3
10-10,41.4,36.3,38.9,47.4,41.7,45.4,46.1,40.5,47.7,33.0,49.8,52.2,50.3,39.2,40.5,27.4,50.7,39.3,47.5,51.0,27.4,35.7,39.8,47.4,50.4,52.2,41.7
10-11,41.0,39.6,40.3,46.0,26.1,43.9,48.7,45.5,43.6,36.9,50.4,53.1,49.6,46.6,37.5,34.6,47.2,37.3,49.5,43.3,26.1,36.4,39.9,47.0,49.7,53.1,43.9
10-12,46.1,43.6,42.1,43.1,23.4,41.8,47.2,45.9,35.7,38.0,42.5,52.6,47.4,44.8,38.9,37.5,49.4,27.4,50.9,35.7,23.4,34.1,40.1,46.0,49.7,52.6,43.1
10-13,43.9,44.1,45.1,38.8,26.6,41.2,45.4,50.1,42.6,35.7,43.4,54.2,47.9,43.5,41.9,42.0,53.3,29.8,49.9,38.6,26.6,34.5,42.0,45.3,50.7,54.2,43.5
10-14,47.6,47.2,37.9,40.4,36.6,42.5,48.5,53.9,45.1,34.2,47.9,54.2,51.4,38.5,29.5,42.6,56.0,31.7,48.0,43.2,29.5,33.7,39.3,48.0,53.9,56.0,45.1
10-15,49.6,44.2,39.3,42.0,41.9,47.3,47.7,53.5,47.5,32.2,49.5,53.3,52.3,43.4,28.9,44.5,48.4,36.6,49.3,,28.9,35.8,42.5,48.9,52.5,53.5,47.3
10-16,47.9,43.6,43.1,40.0,44.6,47.7,48.5,51.4,50.1,35.0,46.1,49.8,50.3,46.3,34.2,48.9,49.5,42.6,45.7,,34.2,39.0,44.0,48.7,50.1,51.4,46.3
10-17,39.1,46.8,31.3,36.7,47.3,49.7,45.0,46.0,44.8,39.9,45.9,46.1,45.8,48.7,34.3,48.5,52.2,43.9,45.1,,31.3,36.3,44.2,46.6,48.9,52.2,45.8
10-18,37.0,40.0,30.8,37.6,47.5,52.3,40.8,46.3,46.4,38.8,45.8,44.5,43.5,49.2,35.7,37.8,53.6,34.3,46.1,,30.8,35.4,38.2,46.2,49.8,53.6,43.5
10-19,37.6,38.8,37.9,47.2,46.6,49.1,42.3,45.9,48.9,40.4,46.8,40.9,39.0,48.9,40.7,41.4,52.4,34.9,45.5,,34.9,37.9,40.5,46.7,48.9,52.4,42.3
10-20,38.8,43.0,41.4,40.8,45.9,36.4,43.6,45.6,48.9,42.9,47.5,39.2,42.4,43.2,42.9,33.5,50.8,39.0,45.2,,33.5,38.3,41.1,44.6,47.8,50.8,42.9
10-21,33.7,44.0,35.7,27.0,44.8,37.3,40.3,46.0,45.7,40.8,46.9,39.9,48.1,35.5,40.9,38.6,51.0,43.8,46.0,,27.0,35.2,39.1,45.4,47.2,51.0,40.9
10-22,31.4,44.0,40.0,36.9,38.7,39.1,37.7,46.9,43.8,40.8,44.5,40.5,49.8,45.9,39.1,43.2,49.7,45.2,41.8,,31.4,37.5,39.5,44.3,47.5,49.8,41.8
10-23,33.1,44.1,42.1,47.2,42.7,42.8,37.7,46.8,42.0,41.9,47.2,40.2,48.9,48.3,39.3,41.2,45.2,42.1,24.9,,24.9,36.8,41.4,44.8,47.4,48.9,42.1
10-24,35.3,45.4,40.3,47.5,44.8,44.1,40.2,46.8,33.5,43.7,51.4,41.6,44.8,46.4,40.5,36.4,46.9,42.4,27.6,,27.6,34.9,40.4,45.1,47.0,51.4,43.7
10-25,35.2,41.0,33.5,48.1,49.9,36.1,33.7,44.5,30.3,41.7,49.1,42.8,43.4,46.9,43.4,44.2,32.4,43.0,37.2,,30.3,33.3,36.6,43.9,48.3,49.9,42.8
10-26,37.0,40.5,32.6,46.0,49.8,38.4,30.7,27.7,31.5,42.4,45.5,44.2,46.0,45.7,45.3,47.1,16.2,29.9,36.0,,16.2,29.5,34.0,45.4,46.2,49.8,40.5
10-27,34.1,40.9,41.0,44.8,48.9,28.2,29.7,33.4,39.7,42.5,38.0,43.4,50.7,45.2,46.1,28.5,29.2,36.4,28.0,,28.0,28.4,33.7,43.0,46.6,50.7,39.7
10-28,27.2,38.5,43.0,47.3,49.9,18.8,38.5,36.8,42.9,35.1,41.5,43.1,49.2,44.8,47.8,25.0,40.1,43.0,34.3,,18.8,26.7,37.5,43.1,48.1,49.9,41.5
10-29,25.7,37.7,40.3,47.5,48.7,20.2,43.6,42.2,45.1,28.0,43.8,34.8,47.8,46.4,46.3,22.6,41.6,44.2,38.1,,20.2,25.1,37.8,44.7,47.5,48.7,42.2
10-30,28.2,37.2,39.6,44.6,47.9,32.8,37.6,42.1,44.3,27.9,45.9,35.2,48.6,46.9,34.6,18.4,41.5,45.4,37.6,,18.4,28.1,36.0,44.5,47.1,48.6,39.6
10-31,25.2,37.3,38.6,39.5,46.4,39.8,37.2,44.3,44.5,32.7,48.6,43.5,43.9,44.2,31.9,33.7,43.7,43.8,39.1,,25.2,32.5,37.8,43.9,44.9,48.6,39.8
11-01,22.7,41.8,36.3,39.6,47.0,43.4,41.3,34.2,42.4,37.8,39.1,46.6,36.9,42.9,36.9,38.2,45.3,42.5,40.9,,22.7,35.9,38.0,42.5,45.6,47.0,40.9
11-02,31.6,43.7,38.4,38.1,40.7,44.5,48.8,27.4,40.3,40.3,30.4,44.6,37.6,41.8,43.6,38.4,47.0,42.7,33.5,,27.4,31.3,38.2,43.2,45.1,48.8,40.3
11-03,33.0,41.7,40.7,39.5,38.7,45.7,48.2,33.7,39.9,35.4,26.2,35.1,42.2,40.4,37.6,42.4,46.5,41.6,23.6,,23.6,31.7,36.3,41.6,45.8,48.2,39.9
11-04,34.0,39.2,38.0,42.1,32.6,46.4,46.7,34.8,43.7,26.3,33.9,26.8,42.7,40.7,41.2,42.6,45.6,44.1,26.4,,26.3,26.8,34.3,42.6,45.8,46.7,40.7
11-05,37.1,38.8,38.4,43.1,22.5,46.8,46.5,23.2,46.3,24.5,40.0,25.5,42.5,37.9,40.0,40.1,46.2,46.0,38.3,,22.5,24.3,38.1,42.9,46.3,46.8,40.0
11-06,39.6,42.0,44.7,43.4,28.6,45.0,42.1,23.1,46.3,32.3,42.6,27.4,42.0,37.1,37.3,39.6,48.2,45.4,39.2,,23.1,28.4,38.1,43.1,45.5,48.2,42.0
11-07,38.1,41.5,49.2,45.4,36.5,42.3,41.2,22.9,44.9,37.6,46.1,31.2,42.6,35.6,36.5,39.4,34.2,43.9,39.3,,22.9,33.6,37.0,42.5,45.5,49.2,39.4
11-08,34.3,42.1,48.6,44.0,39.6,37.1,32.4,23.8,41.5,41.5,43.4,34.0,43.5,35.2,27.3,39.7,21.3,42.0,36.6,,21.3,26.6,34.7,41.8,43.6,48.6,39.6
11-09,30.3,44.6,39.4,43.8,31.8,37.6,23.3,27.0,32.1,40.3,44.5,35.8,42.4,40.4,30.1,41.3,18.8,38.2,24.4,,18.8,24.2,30.9,40.4,44.0,44.6,37.6
11-10,34.2,44.9,33.0,42.7,29.2,42.0,25.6,31.1,17.8,39.9,41.7,26.9,42.1,40.2,33.3,43.0,20.6,37.6,19.4,,17.8,20.4,30.0,41.1,42.8,44.9,34.2
11-11,32.9,36.6,33.1,39.2,31.2,44.6,24.6,32.9,14.5,40.6,40.6,25.5,41.1,37.7,21.9,39.7,28.6,39.4,22.0,,14.5,22.0,29.7,39.3,40.7,44.6,33.1
11-12,29.6,36.8,27.4,36.9,37.0,40.5,29.8,33.0,25.8,42.0,37.6,29.6,41.3,40.1,24.2,39.3,29.5,41.3,25.7,,24.2,25.8,29.6,38.6,41.3,42.0,36.8
11-13,31.3,39.0,35.1,42.1,43.3,30.5,28.9,33.4,31.2,41.6,37.0,32.5,41.6,42.3,30.4,43.4,32.7,42.1,21.5,,21.5,30.1,31.8,41.6,42.5,43.4,35.1
11-14,31.5,38.2,33.1,38.6,36.7,23.6,31.4,33.1,35.1,38.2,36.3,33.3,46.1,40.3,34.0,43.9,30.7,44.5,23.2,,23.2,29.3,33.1,38.2,44.0,46.1,35.1
11-15,33.1,28.5,34.0,41.1,39.4,21.9,33.3,33.6,37.2,33.9,32.3,31.7,49.2,40.0,36.9,43.0,39.0,46.9,20.5,,20.5,27.2,33.2,39.3,43.8,49.2,34.0
11-16,34.7,35.2,42.1,42.5,43.1,31.1,35.6,30.7,35.9,32.6,17.9,22.9,42.6,41.5,37.6,39.6,42.8,42.9,22.9,,17.9,22.9,33.5,41.9,42.8,43.1,35.9
11-17,35.0,34.7,41.8,44.1,44.6,33.8,33.1,34.8,36.8,34.6,27.7,25.4,21.0,36.2,36.6,43.7,44.1,33.6,28.5,,21.0,27.3,33.7,36.8,44.1,44.6,34.8
11-18,34.0,36.7,39.1,44.4,41.7,34.3,37.8,34.8,35.4,35.7,30.6,33.4,27.8,29.5,29.9,44.5,44.9,36.5,24.2,,24.2,29.2,33.7,37.3,44.4,44.9,35.4
11-19,31.2,37.0,38.3,45.1,39.9,32.2,36.7,32.1,34.6,35.4,35.0,37.2,37.9,35.1,32.5,41.6,39.5,40.0,23.1,,23.1,31.9,34.8,38.1,40.3,45.1,36.7
11-20,25.1,36.7,40.6,37.5,37.5,34.6,32.4,32.2,37.4,32.3,34.7,34.9,39.9,41.4,31.8,32.9,37.6,35.9,27.8,,25.1,31.0,32.6,37.5,40.1,41.4,34.9
11-21,25.3,36.9,42.0,23.8,37.5,31.5,24.7,30.8,38.8,31.9,32.6,31.0,33.3,42.6,34.9,28.3,37.6,32.8,29.4,,23.8,25.2,30.9,36.1,39.4,42.6,32.6
11-22,30.2,37.1,40.2,26.2,37.5,32.6,18.5,33.7,37.9,27.9,34.8,33.0,29.5,44.6,31.3,27.3,36.7,36.4,29.8,,18.5,27.1,29.9,36.6,38.3,44.6,33.0
11-23,26.6,37.5,36.7,22.0,36.7,25.1,20.2,37.0,37.3,29.0,24.0,36.0,29.7,46.3,34.2,28.3,31.9,36.7,29.3,,20.2,23.6,28.6,36.7,37.3,46.3,31.9
11-24,29.8,36.7,31.9,29.5,35.2,28.8,12.2,33.4,40.1,28.6,24.1,35.3,27.9,47.2,32.0,33.1,24.9,25.0,26.8,,12.2,24.7,28.1,33.3,37.4,47.2,29.8
11-25,34.2,37.3,30.1,33.3,38.1,32.3,11.9,33.2,39.4,31.5,32.0,26.6,29.9,47.2,25.4,26.6,30.2,31.4,34.2,,11.9,26.3,30.2,33.8,38.4,47.2,32.0
11-26,28.5,26.8,28.7,32.2,34.4,35.4,24.6,33.4,35.9,33.7,38.8,20.2,33.0,47.2,30.6,17.0,21.0,36.9,32.3,,17.0,20.9,28.6,34.1,37.3,47.2,32.3
11-27,29.3,12.2,27.0,32.5,32.0,35.3,26.8,40.2,36.8,29.6,41.6,17.5,23.1,39.4,37.5,24.9,22.3,39.0,31.0,,12.2,21.4,26.8,36.2,39.6,41.6,31.0
11-28,14.4,19.0,19.9,24.1,31.7,29.9,18.6,42.9,39.0,27.5,42.1,14.1,21.4,33.7,34.7,28.9,31.7,40.4,28.9,,14.1,17.8,22.5,32.9,40.8,42.9,28.9
11-29,11.1,31.5,5.4,36.4,34.3,27.7,12.5,38.2,37.0,27.4,39.1,12.2,18.3,36.7,30.9,21.5,32.4,41.7,21.7,,5.4,12.0,21.5,35.6,38.4,41.7,30.9
11-30,15.8,31.3,22.2,32.5,37.9,29.6,23.4,34.7,37.1,28.2,36.1,20.1,20.0,38.0,27.6,16.0,32.0,42.1,27.7,,15.8,19.2,25.1,33.8,38.0,42.1,29.6
12-01,15.4,36.1,27.2,26.1,43.2,31.6,33.9,23.4,35.5,32.7,33.6,25.8,22.2,39.6,23.1,23.0,29.2,40.7,30.4,,15.4,22.8,26.0,33.8,39.8,43.2,30.4
12-02,15.7,33.5,16.5,20.8,39.4,26.3,36.4,25.1,36.7,38.9,35.3,30.0,17.5,40.2,17.1,36.4,21.9,39.0,28.6,,15.7,17.0,23.2,36.4,39.1,40.2,30.0
12-03,20.2,18.4,23.2,33.9,32.3,15.1,39.3,15.7,35.3,30.0,36.6,33.6,24.7,35.3,11.1,35.3,28.1,36.8,32.8,,11.1,15.6,23.8,34.7,36.6,39.3,32.3
12-04,22.7,13.8,29.7,41.9,28.1,24.3,35.6,16.2,39.1,5.1,36.8,32.9,34.8,19.5,19.8,33.0,34.8,36.9,35.2,,5.1,15.8,23.4,35.0,37.3,41.9,32.9
12-05,19.4,18.0,34.0,40.4,29.9,24.8,35.2,11.7,40.1,-0.2,32.8,29.2,32.8,23.2,26.8,29.8,31.9,38.6,32.3,,-0.2,16.8,25.6,32.8,38.9,40.4,29.9
12-06,23.8,21.9,34.9,35.2,37.3,15.7,33.6,21.6,36.8,9.0,34.2,34.2,27.7,25.5,28.4,30.8,32.6,37.9,27.8,,9.0,20.4,26.4,34.2,36.9,37.9,30.8
12-07,24.9,14.2,34.0,30.9,36.6,23.2,30.5,27.6,31.8,14.0,34.5,37.8,17.0,26.1,30.4,33.9,32.9,33.2,24.7,,14.0,16.4,25.4,33.1,34.9,37.8,30.5
