date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,44.0,56.1,54.0,44.5,55.5,27.6,59.6,56.8,53.0,49.2,34.5,59.4,52.0,34.0,52.3,36.1,54.4,46.7,44.1,42.7,27.6,34.4,44.3,54.2,57.3,59.6,52.0
10-02,47.2,49.5,46.8,38.5,54.6,34.1,60.3,54.3,53.7,45.5,38.3,44.9,51.2,29.0,52.9,34.8,53.1,48.8,47.7,37.1,29.0,34.6,45.1,52.2,54.3,60.3,47.7
10-03,47.5,38.2,45.8,50.5,50.4,40.4,57.0,53.2,47.7,32.5,43.2,43.8,35.5,35.1,49.8,45.6,53.5,49.9,47.9,37.4,32.5,35.4,43.4,49.8,53.3,57.0,47.5
10-04,47.6,31.8,48.2,53.0,41.4,34.8,48.7,48.5,43.9,28.8,45.4,46.1,34.1,39.3,43.8,39.6,53.2,52.5,47.8,40.4,28.8,33.7,40.3,48.1,52.6,53.2,45.4
10-05,45.6,32.5,48.0,44.2,37.3,27.1,48.4,41.4,38.5,33.0,47.4,48.3,33.4,39.4,37.2,35.5,53.4,51.8,49.2,44.1,27.1,32.9,37.2,47.8,49.7,53.4,41.4
10-06,45.6,39.5,43.0,29.9,39.8,30.0,46.1,30.0,36.0,43.7,48.6,47.2,32.8,37.3,37.3,37.1,52.7,47.0,50.1,47.3,29.9,30.0,37.1,45.9,48.9,52.7,39.8
10-07,48.9,48.7,37.1,30.7,46.1,36.2,42.8,30.5,36.8,50.4,50.1,48.1,39.9,46.4,36.0,44.4,54.7,46.8,50.9,49.6,30.5,35.0,38.2,48.5,50.5,54.7,46.1
10-08,52.3,43.1,39.2,41.6,47.0,33.0,37.7,34.2,44.1,44.9,50.2,50.3,46.5,34.4,34.7,48.1,56.6,42.5,50.6,50.4,33.0,34.4,40.2,47.6,50.9,56.6,44.1
10-09,53.1,35.0,37.4,49.1,42.1,36.3,40.9,35.9,47.1,42.7,49.7,51.0,49.3,31.7,33.5,33.8,55.4,35.8,50.2,51.2,31.7,33.7,36.1,49.2,51.4,55.4,42.1
10-10,43.1,36.7,35.4,49.7,29.9,33.5,43.8,39.0,50.5,36.5,47.9,55.8,50.7,39.2,31.3,21.4,54.6,37.2,48.9,51.4,21.4,31.1,36.6,48.5,51.4,55.8,39.2
