date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,56.1,41.9,50.9,51.4,44.2,51.3,30.7,55.6,52.7,49.3,49.5,38.1,59.4,47.5,40.5,52.2,47.5,48.6,43.3,46.0,49.1,30.7,40.2,45.5,51.3,55.6,59.4,48.9
10-02,46.6,44.1,54.9,52.2,39.2,52.3,35.2,54.3,50.9,51.4,50.5,36.3,52.2,48.2,29.3,49.1,41.2,50.9,45.0,45.5,41.7,29.3,36.2,44.7,51.1,52.5,54.9,48.7
10-03,45.9,41.5,56.5,44.6,47.5,49.5,40.8,55.2,50.9,54.1,39.0,41.4,44.4,38.8,33.4,52.9,47.8,48.2,46.6,43.9,39.7,33.4,39.0,43.2,48.6,54.2,56.5,46.2
10-04,44.1,42.1,43.3,48.0,50.5,41.9,42.8,47.1,44.8,51.3,24.4,44.1,48.2,35.6,48.6,45.5,50.2,51.6,48.2,44.8,39.9,24.4,41.3,43.8,48.2,50.6,51.6,45.1
10-05,44.6,41.9,32.9,47.7,52.2,39.2,33.6,47.1,41.4,48.0,30.7,45.1,44.8,37.6,45.0,41.4,40.5,52.0,49.1,43.3,42.3,30.7,33.5,41.1,45.7,49.4,52.2,44.0
10-06,46.8,44.1,35.4,44.8,34.9,37.6,30.7,44.2,32.2,36.0,38.5,46.6,44.1,32.7,37.8,38.7,36.9,50.0,45.7,45.3,43.5,30.7,32.7,36.6,44.4,46.6,50.0,38.6
10-07,48.4,44.2,43.3,42.6,30.0,42.1,40.5,46.6,29.5,34.7,44.6,47.1,43.3,37.2,44.2,36.1,41.9,50.9,46.2,46.6,45.7,29.5,34.2,41.5,45.1,47.2,50.9,43.3
10-08,51.4,45.5,46.8,40.3,37.4,47.1,38.3,39.4,31.8,43.3,47.1,48.7,46.8,43.2,43.9,33.6,47.7,53.6,43.9,46.6,48.7,31.8,37.0,42.3,46.9,49.0,53.6,44.7
10-09,54.1,47.5,36.1,38.5,44.2,49.8,38.5,40.3,33.3,49.1,47.1,46.8,48.6,46.0,27.0,34.0,45.0,54.9,40.5,46.0,48.2,27.0,33.9,39.7,47.2,50.3,54.9,45.5
10-10,49.5,45.7,31.5,38.1,52.3,48.4,43.0,42.1,38.7,50.4,35.2,45.1,51.4,48.0,33.1,34.7,24.3,54.3,36.7,48.4,52.0,24.3,32.9,37.7,48.4,51.5,54.3,44.1
