date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.3,42.2,34.7,41.2,27.3,51.0,48.1,46.5,45.4,31.9,50.1,41.9,31.7,46.8,36.3,47.6,39.9,38.9,37.0,27.3,31.9,39.0,46.4,48.7,51.0,42.0
10-02,45.2,40.0,32.8,42.9,30.4,50.4,44.1,48.1,45.0,33.6,41.0,42.1,24.0,46.4,33.7,48.4,40.5,41.1,34.8,24.0,32.1,40.1,44.9,48.2,50.4,41.6
10-03,42.9,38.0,39.5,39.0,33.9,50.5,44.1,46.5,31.8,39.0,38.9,32.4,27.8,45.0,38.1,46.6,42.7,41.5,34.6,27.8,32.2,38.2,42.9,46.5,50.5,39.2
10-04,31.1,37.9,41.3,33.9,31.9,43.8,41.7,42.0,24.1,40.1,40.8,30.7,38.2,39.1,38.2,47.2,43.5,40.6,36.5,24.1,31.0,38.0,41.2,43.6,47.2,39.6
10-05,26.0,38.8,37.5,31.6,21.6,40.0,34.8,39.1,32.4,44.5,40.2,29.5,37.8,36.4,33.7,47.4,43.6,40.6,40.5,21.6,28.5,33.8,40.0,43.8,47.4,37.6
10-06,31.3,35.9,25.1,32.4,24.1,39.4,26.4,30.8,40.0,43.9,39.6,28.0,35.7,32.5,33.1,46.3,39.5,41.5,40.6,24.1,26.0,31.4,39.5,42.2,46.3,34.4
10-07,37.6,31.4,24.2,37.9,32.6,37.0,24.4,31.9,41.5,43.5,41.5,32.6,42.2,32.7,39.0,45.3,39.4,42.9,42.5,24.2,29.3,32.6,41.3,43.1,45.3,37.8
10-08,36.1,31.7,32.5,39.8,30.1,33.0,29.5,40.2,40.5,41.4,45.7,38.0,34.4,29.5,42.4,47.2,37.0,42.9,43.6,29.5,29.9,33.1,40.5,43.7,47.2,37.5
10-09,29.6,31.3,36.5,38.1,33.6,36.1,29.1,42.9,38.5,39.0,44.2,40.9,26.4,27.1,35.9,48.4,33.6,41.5,42.7,26.4,28.5,33.6,39.0,43.3,48.4,36.3
10-10,29.6,28.8,39.9,30.4,33.7,39.7,32.1,43.9,31.5,38.1,47.4,42.5,30.6,29.2,19.0,48.8,34.3,42.6,43.5,19.0,29.1,30.7,39.9,44.9,48.8,34.0
10-11,33.3,33.3,37.0,25.2,35.6,40.0,36.3,43.7,31.2,39.6,49.8,40.5,35.4,28.1,26.7,35.5,33.2,43.8,35.7,25.2,27.7,33.3,39.4,43.7,49.8,35.5
10-12,32.1,35.7,37.3,13.5,37.7,37.8,35.9,35.5,30.9,31.4,46.0,38.6,36.6,30.4,32.0,41.8,28.2,46.6,31.8,13.5,29.7,32.0,37.7,43.1,46.6,35.8
