,basin_location_names,Lattitudes
0,upper_sevier, ⁦⁦39.048332,
1,twelvemile, ⁦⁦40.093070⁩,
2,willow, ⁦⁦38.587682,
3,farmington, ⁦40°58'43"N⁩ ⁦111°53'16"W⁩,
4,lake_fork, ⁦40°17'00"N⁩ ⁦110°14'29"W⁩,
5,southeastern_utah, ⁦37°09'37"N⁩ ⁦109°52'21"W⁩,
6,emigration(1), ⁦40.766103,
7,henry_mountains,
8,raft,
9,bear,
10,state_of_utah,
11,duchesne,
12,provo,
13,middle_sevier,
14,escalante-paria,
15,chalk,
16,sevier_headwaters,
17,dirty_devil,
18,headwaters_duchesne,
19,kanab,
20,southwestern_utah,
21,huntington,
22,ephraim,
23,ogden,
24,cottonwood,
25,manti,
26,upper_beaver,
27,strawberry,
28,mill_creek,
29,price-san_rafael,
30,uinta,
31,ferron,
32,logan,
33,rock,
34,mill,
35,san_pitch,
36,big_cottonwood,
37,santa_clara,
38,price,
39,yellowstone,
40,lost,
41,parleys,
42,spanish_fork,
43,weber-ogden,
44,blacksmith_fork,
45,coal-parowan,
46,ashley,
47,american_fork,
48,lower_sevier,
49,rush-tooele_valleys,
50,upper_virgin,
51,east_canyon,
52,cub,
53,provo-utah_lake-jordan,
54,bear_lake,
55,escalante,
56,beaver,
57,raft_mountains,
58,northeastern_uintas,
59,headwaters_weber,
60,fremont,
61,city,
62,upper_bear,
63,tooele_valley-vernon_creek,
64,little_bear,
65,blacks_fork,
66,muddy,
67,deep_creek_mountains,
68,east_fork_sevier,
69,bingham,
70,smiths_fork,
71,emigration,
72,henrys_fork,
73,sheep,
